zcnblk-shm-target: device=/dev/zcnblk-shmctl backend=WalTcp channels=32 ring_entries=2048 payload_entries=8192 slot_bytes=4096 region_bytes=1084235776 capacity_bytes=17179869184 kick_batch=128 lease_release_batch=1 writeback_batch=65536 read_batch=2048 read_batch_fill_us=0 read_batch_fill_min=32 write_batch_fill_us=50 write_batch_fill_min=2048 remote_leaf=172.31.33.252:34547->172.31.40.136:29000 cpu_list=97,103,109,115,121,127,133,139,145,151,157,163,169,175,181,187,1,7,13,19,25,31,37,43,49,55,61,67,73,79,85,91 owner_dispatch=false owner_extent_records=256 owner_max_tx_iovecs=960 split_transport=false transport_cpu_list=inline transport_wait=greedy poll_us=50 busy_poll_us=1000 busy_hysteresis_us=10000 wait_policy=adaptive-active-burst ordering=lane-local-ingress+stable-extent-owner+sector-predecessor+global-sync-hwm shared_payload_slots=true payload_ownership=submit-sequence-token-transfer placement_owner=downstream-userspace-stage block_client_placement=no representative=true 
zcnblk-shm-target-wal-lane: channel=21 cpu=31 transport_cpu=owner:33 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1913 dirty_pressure_evictions=9946 max_payload_slots_outstanding=891 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.207243 active_iops=48253 remote_batches=187 avg_remote_batch_records=53.48 kicks=168 idle_polls=45
zcnblk-shm-target-wal-lane: channel=22 cpu=37 transport_cpu=owner:39 requests=10017 writes=10000 reads=16 syncs=1 early_write_acks=10000 dirty_read_hits=8 dirty_read_refs=8 dirty_pressure_events=2031 dirty_pressure_evictions=9914 max_payload_slots_outstanding=1289 remote_read_misses=8 completion_window_stalls=0 active_seconds=0.226531 active_iops=44219 remote_batches=195 avg_remote_batch_records=51.32 kicks=185 idle_polls=31
zcnblk-shm-target-wal-lane: channel=23 cpu=43 transport_cpu=owner:45 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1867 dirty_pressure_evictions=9922 max_payload_slots_outstanding=1400 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.220733 active_iops=45304 remote_batches=331 avg_remote_batch_records=30.21 kicks=287 idle_polls=36
zcnblk-shm-target-wal-lane: channel=24 cpu=49 transport_cpu=owner:51 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1862 dirty_pressure_evictions=9930 max_payload_slots_outstanding=1250 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.217496 active_iops=45978 remote_batches=272 avg_remote_batch_records=36.76 kicks=241 idle_polls=38
zcnblk-shm-target-wal-lane: channel=25 cpu=55 transport_cpu=owner:57 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1890 dirty_pressure_evictions=9924 max_payload_slots_outstanding=1493 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.213388 active_iops=46863 remote_batches=213 avg_remote_batch_records=46.95 kicks=194 idle_polls=40
zcnblk-shm-target-wal-lane: channel=26 cpu=61 transport_cpu=owner:63 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1786 dirty_pressure_evictions=9961 max_payload_slots_outstanding=635 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.212199 active_iops=47126 remote_batches=354 avg_remote_batch_records=28.25 kicks=303 idle_polls=42
zcnblk-shm-target-wal-lane: channel=27 cpu=67 transport_cpu=owner:69 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1806 dirty_pressure_evictions=9944 max_payload_slots_outstanding=1110 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.209907 active_iops=47640 remote_batches=252 avg_remote_batch_records=39.68 kicks=226 idle_polls=42
zcnblk-shm-target-wal-lane: channel=28 cpu=73 transport_cpu=owner:75 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1927 dirty_pressure_evictions=9927 max_payload_slots_outstanding=1638 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.218788 active_iops=45706 remote_batches=252 avg_remote_batch_records=39.68 kicks=219 idle_polls=35
zcnblk-shm-target-wal-lane: channel=29 cpu=79 transport_cpu=owner:81 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1977 dirty_pressure_evictions=9908 max_payload_slots_outstanding=1628 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.220741 active_iops=45302 remote_batches=209 avg_remote_batch_records=47.85 kicks=186 idle_polls=34
zcnblk-shm-target-wal-lane: channel=30 cpu=85 transport_cpu=owner:87 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1857 dirty_pressure_evictions=9943 max_payload_slots_outstanding=1326 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.220185 active_iops=45416 remote_batches=327 avg_remote_batch_records=30.58 kicks=267 idle_polls=37
zcnblk-shm-target-wal-lane: channel=31 cpu=91 transport_cpu=owner:93 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=2145 dirty_pressure_evictions=9851 max_payload_slots_outstanding=2256 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.240934 active_iops=41505 remote_batches=194 avg_remote_batch_records=51.55 kicks=174 idle_polls=25
zcnblk-shm-target-summary: backend=WalTcpStableOwnerExtent channels=32 requests=320320 writes=320024 reads=293 syncs=3 write_bytes=1310818304 read_bytes=1200128 wall_seconds=1.075964 active_seconds=0.275857 active_descriptor_iops=1161180 active_4k_equivalent_iops=1161169 active_payload_Gibitps=35.44 kicks=5072 idle_polls=987 lease_releases=320320 early_write_acks=320024 dirty_read_hits=8 dirty_read_refs=8 dirty_pressure_events=61192 dirty_pressure_evictions=317380 max_payload_slots_outstanding=2905 remote_read_misses=285 completion_window_stalls=0 remote_batches=5483 avg_remote_batch_records=58.42 payload_ownership=submit-sequence-token-transfer payload_slots_free=262144/262144 completion_order=ready-order+early-local-write+remote-read+global-commit-hwm data_order=stable-extent-owner+sector-predecessor+lock-free-dirty-directory sync_boundary=remote-global-completion-hwm+all-owner-sync dirty_retention=transferred-page-reference-until-remote-sync-or-targeted-pressure-retire placement_owner=downstream-userspace-stage block_client_placement=no write_ingress=shared-slot-lease read_payload_destination=dirty-shared-slot-reference-or-remote-direct kernel_payload_copies=one-per-direction writeback_materialization_copies=none-userspace;tcp-kernel-copy representative=true
zcnblk-shm-target-remote-leaf-summary: address=172.31.33.252:34547->172.31.40.136:29000 lanes=32 transport=tcp send_mode=blocking-writev recv_policy=adaptive recv_spin_hits=0 recv_blocking_fallbacks=18739 recv_would_block_polls=19332 recv_grows=218 recv_shrinks=216 fan_stage=userspace placement=single-leaf write_batches=18568 write_records=320024 write_bytes=1310818304 compact_write_batches=18568 request_descriptor_bytes=40999552 wire_descriptor_bytes=10277248 descriptor_bytes_saved=30722304 write_payload_iovecs=320024 write_payload_tx_iovecs=310155 write_payload_runs=310155 avg_write_iovecs_per_batch=17.24 avg_write_tx_iovecs_per_batch=16.70 avg_write_run_bytes=4226 max_write_payload_run_bytes=32768 read_batches=62 read_records=285 read_bytes=1167360 syncs=96 control_writev_batches=0 send_zc_notifications=0 send_zc_copied_notifications=0 payload_source=shared-slot-coalesced-iovec read_payload_destination=shared-slot-direct result_contract=fifo-mixed-request-batch+global-sync-epoch
