zcnblk-shm-target-remote-connect: lane=0 address=127.0.0.1:32878->127.0.0.1:29000 tcp_nodelay=true quickack=false
zcnblk-shm-target-remote-connect: lane=1 address=127.0.0.1:53278->127.0.0.1:29001 tcp_nodelay=true quickack=false
zcnblk-shm-target-remote-connect: lane=2 address=127.0.0.1:32926->127.0.0.1:29002 tcp_nodelay=true quickack=false
zcnblk-shm-target-remote-connect: lane=3 address=127.0.0.1:41542->127.0.0.1:29003 tcp_nodelay=true quickack=false
zcnblk-shm-target: device=/dev/zcnblk-shmctl backend=WalTcp channels=4 ring_entries=512 payload_entries=8192 slot_bytes=4096 region_bytes=134750208 capacity_bytes=536870912 kick_batch=128 lease_release_batch=1 writeback_batch=8192 read_batch=512 read_batch_fill_us=0 read_batch_fill_min=32 write_batch_fill_us=0 write_batch_fill_min=256 remote_leaf=127.0.0.1:32878->127.0.0.1:29000 cpu_list=97,145,1,49 owner_dispatch=false owner_count=4 owner_extent_records=256 owner_max_tx_iovecs=960 split_transport=false transport_cpu_list=inline transport_wait=greedy poll_us=1000 busy_poll_us=1000 busy_hysteresis_us=10000 poll_clock_check_spins=64 wait_policy=fixed-active ordering=per-lane-batch+sector-predecessor+global-sync-hwm shared_payload_slots=true payload_ownership=submit-sequence-token-transfer placement_owner=downstream-userspace-stage block_client_placement=no representative=true 
zcnblk-shm-target-wal-debug: channel=2 req_cons=4424 req_prod=4424 pending_send=139 pending_front_submit=20009 pending_front_predecessor=19690 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=64 logical_hwm=17938 remote_hwm=17937 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=0 req_cons=4559 req_prod=4576 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=38 logical_hwm=17953 remote_hwm=17951 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=8551 req_prod=8615 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=19511 remote_hwm=19509 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=3 req_cons=2548 req_prod=2548 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=19511 remote_hwm=19509 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=2 req_cons=4424 req_prod=4424 pending_send=139 pending_front_submit=20009 pending_front_predecessor=19690 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=64 logical_hwm=19511 remote_hwm=19509 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=8551 req_prod=8615 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=19511 remote_hwm=19509 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=2 req_cons=4424 req_prod=4424 pending_send=139 pending_front_submit=20009 pending_front_predecessor=19690 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=64 logical_hwm=19511 remote_hwm=19509 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=3 req_cons=2673 req_prod=2704 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=9 logical_hwm=19511 remote_hwm=19509 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=8551 req_prod=8615 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=19511 remote_hwm=19509 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=2 req_cons=4424 req_prod=4424 pending_send=139 pending_front_submit=20009 pending_front_predecessor=19690 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=64 logical_hwm=19511 remote_hwm=19509 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=0 req_cons=4598 req_prod=4610 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=29 logical_hwm=19671 remote_hwm=19670 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=3 req_cons=2705 req_prod=2769 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=19671 remote_hwm=19670 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=8551 req_prod=8615 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=19671 remote_hwm=19670 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=2 req_cons=4424 req_prod=4424 pending_send=139 pending_front_submit=20009 pending_front_predecessor=19690 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=64 logical_hwm=19671 remote_hwm=19670 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=0 req_cons=4610 req_prod=4641 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=22 logical_hwm=19706 remote_hwm=19706 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=9138 req_prod=9202 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=19706 remote_hwm=19706 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=2 req_cons=4849 req_prod=4913 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=19706 remote_hwm=19706 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=3 req_cons=2769 req_prod=2769 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=19706 remote_hwm=19706 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=0 req_cons=4652 req_prod=4675 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=28 logical_hwm=20172 remote_hwm=20172 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=9214 req_prod=9278 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=20172 remote_hwm=20172 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=2 req_cons=4849 req_prod=4913 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=20172 remote_hwm=20172 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=3 req_cons=2879 req_prod=2887 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=27 logical_hwm=20185 remote_hwm=20185 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=0 req_cons=4702 req_prod=4717 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=45 logical_hwm=20419 remote_hwm=20418 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=10181 req_prod=10181 pending_send=154 pending_front_submit=22730 pending_front_predecessor=21911 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=64 logical_hwm=20419 remote_hwm=20418 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=2 req_cons=5078 req_prod=5097 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=31 logical_hwm=20419 remote_hwm=20418 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=10285 req_prod=10285 pending_send=147 pending_front_submit=22865 pending_front_predecessor=21979 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=64 logical_hwm=20419 remote_hwm=20418 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=3 req_cons=2988 req_prod=3003 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=30 logical_hwm=20419 remote_hwm=20418 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=10432 req_prod=10432 pending_send=162 pending_front_submit=23059 pending_front_predecessor=20421 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=64 logical_hwm=20419 remote_hwm=20418 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=2 req_cons=5127 req_prod=5141 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=28 logical_hwm=20419 remote_hwm=20418 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=3 req_cons=3051 req_prod=3079 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=32 logical_hwm=20419 remote_hwm=20418 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=0 req_cons=4721 req_prod=4730 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=36 logical_hwm=20460 remote_hwm=20460 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=10464 req_prod=10528 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=20460 remote_hwm=20460 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=3 req_cons=3124 req_prod=3143 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=39 logical_hwm=20460 remote_hwm=20460 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=2 req_cons=5170 req_prod=5186 pending_send=19 pending_front_submit=23396 pending_front_predecessor=21768 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=31 logical_hwm=20460 remote_hwm=20460 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=11007 req_prod=11007 pending_send=111 pending_front_submit=24094 pending_front_predecessor=21770 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=64 logical_hwm=20460 remote_hwm=20460 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=2 req_cons=5268 req_prod=5268 pending_send=113 pending_front_submit=23396 pending_front_predecessor=21768 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=64 logical_hwm=20460 remote_hwm=20460 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=3 req_cons=3161 req_prod=3185 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=24 logical_hwm=20460 remote_hwm=20460 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=0 req_cons=4730 req_prod=4756 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=16 logical_hwm=21768 remote_hwm=21766 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=11007 req_prod=11007 pending_send=111 pending_front_submit=24094 pending_front_predecessor=21770 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=64 logical_hwm=21768 remote_hwm=21766 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=2 req_cons=5268 req_prod=5268 pending_send=113 pending_front_submit=23396 pending_front_predecessor=21768 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=64 logical_hwm=21768 remote_hwm=21766 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=3 req_cons=3262 req_prod=3285 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=24 logical_hwm=21780 remote_hwm=21780 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=11193 req_prod=11257 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=21780 remote_hwm=21780 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=3 req_cons=3361 req_prod=3378 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=3 lane_completion_ready=0 lane_completions=30 logical_hwm=21780 remote_hwm=21780 sync_epoch=0 release_hwm=0
zcnblk-shm-target-wal-debug: channel=1 req_cons=11193 req_prod=11257 pending_send=0 pending_front_submit=0 pending_front_predecessor=0 transport_pending=false in_flight=0 lane_completion_ready=0 lane_completions=0 logical_hwm=21780 remote_hwm=21780 sync_epoch=0 release_hwm=0
