tag,tree,transport,mode,workers,per_worker_qd,aggregate_qd,fua,variant,cohort,observed_cohorts,cohort_complete,repeat,ops_per_sec,latency_avg_us,latency_p50_us,latency_p95_us,latency_p99_us,cpu_ns_per_op,reported_completion,completion_semantic,source
gate-current-efa-write-w1-qd1-fua,current,efa,write,1,1,1,true,gate-fua,1,1,true,1,15264,65.461,61.0,65.0,318.0,65516.0,per-write-fua-dsync,remote-fua-drain,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-efa-write-w1-qd1-fua/results.log
gate-current-efa-write-w1-qd1-fua,current,efa,write,1,1,1,true,gate-fua,1,1,true,2,16130,61.943,61.0,64.0,67.0,61998.6,per-write-fua-dsync,remote-fua-drain,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-efa-write-w1-qd1-fua/results.log
gate-current-efa-write-w1-qd1-fua,current,efa,write,1,1,1,true,gate-fua,1,1,true,3,16130,61.94,61.0,65.0,67.0,61996.6,per-write-fua-dsync,remote-fua-drain,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-efa-write-w1-qd1-fua/results.log
gate-current-efa-write-w1-qd1-fua,current,efa,write,1,1,1,true,gate-fua,1,1,true,4,16124,61.965,61.0,65.0,67.0,62019.9,per-write-fua-dsync,remote-fua-drain,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-efa-write-w1-qd1-fua/results.log
gate-current-tcp-read-w1-qd1,current,tcp,read,1,1,1,false,gate,1,1,true,1,27584,36.2,36.0,39.0,54.0,36253.1,ordinary-device-ack,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-tcp-read-w1-qd1/results.log
gate-current-tcp-read-w1-qd1,current,tcp,read,1,1,1,false,gate,1,1,true,2,27602,36.176,36.0,39.0,54.0,36229.0,ordinary-device-ack,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-tcp-read-w1-qd1/results.log
gate-current-tcp-read-w1-qd1,current,tcp,read,1,1,1,false,gate,1,1,true,3,27535,36.264,37.0,39.0,54.0,36317.6,ordinary-device-ack,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-tcp-read-w1-qd1/results.log
gate-current-tcp-read-w1-qd1,current,tcp,read,1,1,1,false,gate,1,1,true,4,27575,36.212,36.0,39.0,54.0,36265.1,ordinary-device-ack,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-tcp-read-w1-qd1/results.log
gate-current-tcp-rw-w1-qd1,current,tcp,rw,1,1,1,false,gate,1,1,true,1,52054,19.156,5.0,44.0,68.0,19211.1,ordinary-device-ack,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-tcp-rw-w1-qd1/results.log
gate-current-tcp-rw-w1-qd1,current,tcp,rw,1,1,1,false,gate,1,1,true,2,52174,19.112,5.0,44.0,68.0,19167.1,ordinary-device-ack,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-tcp-rw-w1-qd1/results.log
