tag,tree,transport,mode,workers,per_worker_qd,aggregate_qd,fua,variant,cohort,observed_cohorts,cohort_complete,repeats,analyzed_repeats,mean_iops,min_iops,max_iops,spread_pct,all_repeat_mean_iops,latency_avg_us,latency_p50_us,latency_p95_us,latency_p99_us,cpu_ns_per_op,reported_completion,completion_semantic,source
current-nvmet-write-w1-qd2,current,nvme-tcp,write,1,2,2,false,curve,1,1,true,4,"2,3,4",37187,36304,37747,3.88,37247,53.706,46.0,55.333,61.0,22933.1,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-write-w1-qd2/results.log
current-nvmet-write-w1-qd4,current,nvme-tcp,write,1,4,4,false,curve,1,1,true,4,"2,3,4",31573,12678,49071,115.266,40561,172.664,46.333,64.0,73.0,11262.9,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-write-w1-qd4/results.log
current-nvmet-write-w1-qd8,current,nvme-tcp,write,1,8,8,false,curve,1,1,true,4,"2,3,4",55111,47177,69228,40.012,58573,149.136,93.667,102.333,844.0,11815.5,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-write-w1-qd8/results.log
current-nvmet-write-w1-qd8-repeat,current,nvme-tcp,write,1,8,8,false,curve-repeat,1,1,true,4,"2,3,4",50890,30042,61582,61.977,55570,175.338,92.667,105.667,1256.667,11792.9,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-write-w1-qd8-repeat/results.log
current-nvmet-write-w2-qd128,current,nvme-tcp,write,2,128,256,false,curve,1,1,true,4,"2,3,4",243678,243231,243932,0.288,243482,1047.058,915.0,3000.0,3000.0,5947.6,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-write-w2-qd128/results.log
current-nvmet-write-w2-qd256,current,nvme-tcp,write,2,256,512,false,curve,1,1,true,4,"2,3,4",102752,101221,104429,3.122,103030,4861.972,2000.0,27000.0,45000.0,17317.0,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-write-w2-qd256/results.log
current-nvmet-write-w2-qd32,current,nvme-tcp,write,2,32,64,false,curve,1,1,true,4,"2,3,4",235231,228716,245478,7.126,234250,256.658,250.667,372.333,478.667,5803.0,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-write-w2-qd32/results.log
current-nvmet-write-w2-qd64,current,nvme-tcp,write,2,64,128,false,curve,1,1,true,4,"2,3,4",152102,149440,154553,3.362,151908,834.093,868.667,947.667,2000.0,10708.5,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-write-w2-qd64/results.log
gate-current-nvmet-read-w1-qd1,current,nvme-tcp,read,1,1,1,false,gate,1,1,true,4,"2,3,4",28015,27971,28073,0.364,28019,35.639,32.0,36.0,48.333,30921.4,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/gate-current-nvmet-read-w1-qd1/results.log
gate-current-nvmet-rw-w1-qd1,current,nvme-tcp,rw,1,1,1,false,gate,1,1,true,4,"2,3,4",26210,22137,28313,23.563,26738,38.602,32.0,36.0,44.667,30940.1,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/gate-current-nvmet-rw-w1-qd1/results.log
gate-current-nvmet-write-w1-qd1,current,nvme-tcp,write,1,1,1,false,gate,1,1,true,4,"2,3,4",28532,28473,28619,0.512,28483,34.993,32.0,36.0,46.0,31031.5,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/gate-current-nvmet-write-w1-qd1/results.log
gate-current-nvmet-write-w1-qd1-fua,current,nvme-tcp,write,1,1,1,true,gate-fua,1,1,true,4,"2,3,4",28563,28477,28730,0.886,28574,34.957,32.0,36.0,46.0,31001.8,per-write-fua-dsync,remote-nvme-fua-target-sync-volatile-media,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/gate-current-nvmet-write-w1-qd1-fua/results.log
