zcnblk0-batch64-window1-randwrite: (g=0): rw=randwrite, bs=(R) 4096B-4096B, (W) 4096B-4096B, (T) 4096B-4096B, ioengine=io_uring, iodepth=64
...
fio-3.39
Starting 8 processes

fio: terminating on signal 15
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=422367232, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=145158144, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=33452032, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=26177536, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=179396608, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=508252160, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=446382080, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=117428224, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=226566144, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=426999808, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=145596416, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=310525952, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=196132864, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=23937024, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=133025792, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=52764672, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=204578816, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=210673664, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=432877568, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=116973568, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=394973184, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=206585856, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=92655616, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=333996032, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=446980096, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=388141056, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=21757952, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=59179008, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=259637248, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=274726912, buflen=4096
