[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2155: was 0x00000000fef5b800
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 18: was 0x00000000fef00938
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 97: was 0x00000000fef02a08
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 26: was 0x00000000fef00d58
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 373: was 0x00000000fef0a918
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 363: was 0x00000000fef0a488
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 20: was 0x00000000fef009f0
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 17: was 0x00000000fef008c8
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][trace] Restored java.lang.Object archived mirror 0x00000000fef008c8
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 245: was 0x00000000fef06a90
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][trace] Restored [Ljava.lang.Object; archived mirror 0x00000000fef06a90
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 1530: was 0x00000000fef2a920
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][trace] Restored [[Ljava.lang.Object; archived mirror 0x00000000fef2a920
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 119: was 0x00000000fef03380
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][trace] Restored java.io.Serializable archived mirror 0x00000000fef03380
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 739: was 0x00000000fef14508
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][trace] Restored [Ljava.io.Serializable; archived mirror 0x00000000fef14508
